# ShellCheck 0.11.0
# Cold per-root RSS (KiB), macOS arm64, 2026-09-23; not a heap limit.
# Refresh using fm-lint.sh header; stale source-closure fingerprints run alone.
# root	source_closure_sha256	max_rss_kib
bin/fm-x-poll.sh	5068bfcfeb6daae840382e21ccf60413fb75973cde199864000e81eaf9a5c10c	1180928
bin/fm-x-reply.sh	4604f96f9521ddcd3d5b5f777a6fda2af0945431394ebbd9000aaecf4d142e7f	461056
bin/backends/cmux.sh	9ae314f6e802cddc5b5cbf7310da9b38b2e2dda5efd0f2860fd7c6a1b5933e08	244944
bin/backends/herdr.sh	967602d0359b6afd82f5bd90e216632f8e939e3594e3f3a109e098ea48c0e50d	1254640
bin/backends/orca.sh	463a9f3b65cf378878dd43a141504f3416fe305c37a7aa227e5b0be279a31686	216224
bin/backends/stream.sh	bcb85f1a29051e473402fcab03676c430c53df031ffc47aef81d5dd89b569d61	317664
bin/backends/tmux.sh	00861f2dc6db55c7a96b032790f82bb5fdf5b7cece334a5211166e104ee5c294	468208
bin/backends/zellij.sh	f429b484859e77641c396494d89c24676beba3fe82d891ef21e81fc39685ff64	260272
tests/cmux-test-safety.sh	b56b4c90ae74c41ba072f1184091dd4980dc6cd712c55ea8924c6eb3c5d1c0bf	22480
tests/fixtures.sh	53dfa290903e815c6a417c7607ce80376d53230b60ffc1a58d5a8e808ea8a8b0	80096
tests/fm-account-slot-live-e2e.test.sh	3364c8c0a0980f9f0ca2a69cdabc51615383983daa65de3a580fae89922a2bb3	111840
tests/fm-account-slot.test.sh	6e036dbd3b6bed0af0251e6d5a8ae3f243a79f1d1c558efab358efc486344cff	177392
tests/fm-afk-contract.test.sh	a30f080e03d99ab2cf95ea83a1fa0a777fed8fd73bff36eaf2ad4f31baced096	161008
tests/fm-afk-inject-e2e.test.sh	0c9ffbe3a886ca1781e7f16f4f202ff4d437cf72df23d99cb5aba05d1b711bd2	38080
tests/fm-afk-inject-herdr-e2e.test.sh	a3c5e51b19d4fb99b4ec27594848345bf6078975087d5a7d9222a6ce43649887	61648
tests/fm-afk-launch.test.sh	2a234b9dc2dde491181d4e6d18224f7e8d5369323046bf8a1c713c8dc4a816c5	737520
tests/fm-afk-pi-herdr-return-e2e.test.sh	ef230abc9f5b96b73e27a656a004a8df21a114d22a8a24968719855b52118c40	137456
tests/fm-afk-return.test.sh	33ebf0e3322feb4336c177c895a5c54c31335a9910a23f71f5206590dfb23deb	165088
tests/fm-agy-harness.test.sh	fbe7fa33ad8881a8d48baea6052cbb6cf275f285e416c8d0684c28c4ade2fb0d	181504
tests/fm-agy-signals-live-e2e.test.sh	1d6a709b17c2e84f8cacbbc0f724c1602bddbeacb05d301ecb60719ce93ea235	107776
tests/fm-arm-pretool-check.test.sh	5eaa59ae99c18fdc761918a99e6e28b03540d01fe73eefb5cf4878706a9a729d	121072
tests/fm-ask-triage.test.sh	acf89725054439004711ea4424d08baea7da7590863871f81d2409e4c4967d25	133392
tests/fm-ask-user-authority.test.sh	092f8e3bae67890ce3933c23856f5f8f68b1a5f54a373149ca25f292a73ee16a	78064
tests/fm-backend-autodetect-smoke.test.sh	77ce083a4a913193ca1f9a16228f807179d9076a0a5aa9ba39c370ba706f40ca	45152
tests/fm-backend-cmux-smoke.test.sh	a7150bcc04d83755c63cd521833c98c73635dc2594d3893cfdee170ea861bbaf	40032
tests/fm-backend-cmux.test.sh	32be77a5bf356e5cbe083ebccf69496985be9147621b7785ecf1c19490c5615b	709888
tests/fm-backend-herdr-agent-exit-shell-e2e.test.sh	c6351b3da71d887e280bd32d7bac786d71f7313e84725dd483d5ec2f61dff80f	101600
